epoch,axial_mode,decoder_type,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,val_pck_0_5,current_lr,epoch_time
1,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.1165037337684188,0.1165037337684188,0.14779460716827864,0.1897871818672327,0.7344437564792327,0.0829083890017168,0.0829083890017168,0.06932151425399898,0.13504748042350934,0.8280041228400337,0.9817421161981277,2.5245272611987258e-05,42.9769545448944
2,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.08360991989202585,0.08360991989202585,0.0721412365777285,0.135696628863019,0.8326830648988425,0.08121447935884382,0.08121447935884382,0.06776110503408644,0.1319309588751675,0.8359808022887618,0.9806790179970823,4.075181640816509e-05,46.008133105002344
3,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.08018562066068796,0.08018562066068796,0.06850420639214617,0.13031726330309143,0.8407676605474839,0.0778847094008952,0.0778847094008952,0.06467483543687397,0.12649583570383213,0.8440123532436512,0.9820919083960262,6.584183097619472e-05,42.57556875329465
4,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.07683575096903862,0.07683575096903862,0.06594024649060766,0.12510045324476235,0.8496258162692071,0.07603653402792084,0.07603653402792084,0.06366765148661754,0.12387597247406289,0.8532578945454256,0.9812825845789026,9.941861659734224e-05,40.001860027667135
5,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.0734611284569346,0.0734611284569346,0.0640140189987027,0.11979326922612407,0.857929196667347,0.0712750330530567,0.0712750330530567,0.0601150868869858,0.1162811538025185,0.8668655750780929,0.983552816885489,0.00014001451165479795,38.423050191253424
6,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.07013518671122523,0.07013518671122523,0.062127390051655594,0.1144096051746373,0.867167619977785,0.06818042770396045,0.06818042770396045,0.057620594637629426,0.11139033831196067,0.8711728450398386,0.9844238738071771,0.00018585504501102877,41.99148816103116
7,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.06683654607222553,0.06683654607222553,0.05939324935070051,0.10898330701917647,0.877585046334944,0.06559978653435354,0.06559978653435354,0.05809687021521875,0.1072308553074613,0.8767421187883542,0.9871262091177481,0.0002349364992149318,41.86889555025846
8,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.06378343125400944,0.06378343125400944,0.05652897744232145,0.10402123745874904,0.886522207123765,0.06265627599056856,0.06265627599056856,0.05279160714627784,0.10199038587970498,0.8894513090157214,0.9879080977263274,0.0002851134942040719,41.82133238436654
9,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.06093388590126284,0.06093388590126284,0.05398918066786814,0.09945089053219977,0.894851632173368,0.060630883224952366,0.060630883224952366,0.0527415371309092,0.0989757940467493,0.8947256587464132,0.9886968527899848,0.0003341927631653793,41.913999115116894
10,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.05852963524051319,0.05852963524051319,0.05175705204582024,0.09559741530134858,0.9010114500831489,0.0608425153626336,0.0608425153626336,0.05103162637647287,0.09951647055001907,0.8939643396860287,0.9877434893007632,0.00038002902155469487,41.73423711396754
