epoch,axial_mode,decoder_type,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,val_pck_0_5,current_lr,epoch_time
1,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.14013228332005287,0.09690000706630715,0.0864645526602522,0.15716440132733975,0.7948151687305968,0.11299117998944389,0.08233255466561258,0.06131725057223697,0.13376782009263097,0.8322153705137747,0.9756858755041051,2.5245272611987258e-05,31.156627208925784
2,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.11579339757484837,0.08320537766319157,0.0651760400611873,0.1350442359276648,0.8328922986518519,0.10979887806339028,0.07936188397768103,0.0608739878145265,0.1291723412753623,0.8375445870411249,0.9768175638457876,4.075181640816509e-05,32.64450309891254
3,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.11126560183135135,0.07997471689875191,0.06258177004462295,0.13004561905484402,0.8399150981122878,0.10659365201805844,0.07731594849883774,0.0585554080520883,0.12583245250545902,0.8443758640465913,0.9781961667096173,6.584183097619472e-05,32.078331822063774
4,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.10749313688255843,0.0772124942833976,0.060561285341069145,0.12558737010727788,0.8478416831647256,0.1036407760484719,0.0750172120038374,0.057247127496901855,0.12225821340525592,0.851138551235199,0.979835395342038,9.941861659734224e-05,33.35032555880025
5,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.10386531176297324,0.07439205589998064,0.05894651189993687,0.12095187791838723,0.8564506672177208,0.10319676725216853,0.07386323559615347,0.05866706357693967,0.11970995955261184,0.8553155091662465,0.9825102930893133,0.00014001451165479795,32.340553460177034
6,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.10016895617651071,0.07160591675836903,0.05712607887039838,0.1163492311866307,0.8655510471693928,0.09604613878844696,0.06904859053683869,0.05399509671109694,0.11244826863209406,0.8672428040151243,0.9815432132614983,0.00018585504501102877,33.5474152341485
7,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.09708760357574665,0.06922477967367635,0.055725648038288375,0.11244958560808428,0.8734307504199523,0.09358829096879488,0.06706841044955783,0.05303976081771615,0.10890440495661748,0.8800480181199533,0.9849519927413375,0.0002349364992149318,33.559146970976144
8,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.09401049788928922,0.06701059722121683,0.053999801424983555,0.10882697206122705,0.8808546534086097,0.09309292050423446,0.06618601893937147,0.05381380323090671,0.10756620952376612,0.8811728466292958,0.98575446187714,0.0002851134942040719,32.90030956408009
9,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.09127329417151722,0.0649853840230461,0.052575820408136256,0.10554229123790035,0.8865387019430739,0.08946763815703215,0.06318970250494686,0.052555871109167734,0.10272823515865538,0.8913374568209236,0.9877983601888021,0.0003341927631653793,33.74417359987274
10,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.08912778693142301,0.06339609551907592,0.051463382873712694,0.10291339941165618,0.8915898380847364,0.08606239600681964,0.06153760334591807,0.04904958528133086,0.10040837774674098,0.891666673819224,0.9875514437828535,0.00038002902155469487,32.67708035232499
11,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.08660540181056543,0.06154159919431124,0.050127605182907695,0.09994275584493248,0.897137580563974,0.08756602470521574,0.0626129492694213,0.04990615078696498,0.10153762156948631,0.8946296405792237,0.9880521304224744,0.00042061873878230653,33.31343602016568
12,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.08413170569994464,0.05978131134305769,0.048700788932436054,0.09711423953690926,0.9024170500894211,0.0816245788961281,0.05838112518559267,0.04648690739163646,0.09509991857004754,0.9010425300068325,0.9888751767005449,0.0004541877137473619,30.593204707838595
13,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.0817550813752164,0.05812867919559739,0.0472528042468797,0.09449254258929202,0.9073093081064607,0.08038806721200177,0.057336391690704556,0.04610335099844285,0.09349198576476839,0.9063991815366863,0.989403298460407,0.00047926862624155507,32.43887621117756
14,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.07983571479638715,0.05673814572756002,0.046195138192960186,0.09225852965148916,0.9111232727966303,0.0822751991542769,0.05935562655881599,0.045839144981201785,0.09645182683512017,0.9002812143314032,0.9889094695044153,0.0004947651744033074,33.47230675490573
15,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.07779771249673202,0.055270741352379776,0.04505394196944379,0.08992637727298407,0.9149077191001121,0.07735970854759217,0.05522618529605277,0.04426704678086587,0.09013233569301204,0.910809335620315,0.9895404721483773,0.0004999999989929377,33.93207510188222
16,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.07551114487753266,0.05363379544015973,0.043754699202622635,0.087285177227314,0.9196028958318532,0.07621918379524607,0.05435157823341864,0.043735211066625736,0.08869157411066102,0.9140123557161401,0.9900960272329825,0.0004989916013319365,33.98777872417122
17,spatial_then_temporal,mlp,raw,baseline,9,none,False,0.0,0.0,0.07392421323566777,0.05252433065782023,0.042799765237082094,0.08549773279489586,0.9226693477364588,0.07456507760617469,0.053009206790615014,0.04311174142507859,0.08649728386858363,0.9212002810431116,0.9921879323323568,0.0004959785502158213,34.05436287820339
