epoch,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,distal_loss_weight,distal_replay_factor,distal_replay_fraction,source_replay_weight,wrist_direction_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,current_lr,epoch_time,train_target_loss
1,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.15911570180345463,0.12143519940199675,0.0753610078383375,0.19551394990196935,0.7349794330420317,0.14962796146188626,0.11322917385103577,0.07279757494640712,0.18283977555415462,0.7631454376008826,3.483407937860376e-05,2.537199965212494,0.15911570180345463
2,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.14806974750977975,0.11194418707379589,0.07225111960260956,0.18049449446024718,0.7686214027581392,0.1404498349725212,0.10516190598751911,0.07057585768412211,0.16952625550912037,0.7895086645684724,7.750256825599257e-05,1.542469393927604,0.14806974750977975
3,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.13831778389436228,0.10347914486019699,0.06967727768200416,0.1667977848538646,0.7946502115991381,0.1335742155284974,0.09889369772430395,0.06936103504368164,0.15945214288655982,0.8076938311673069,0.00014273090204073078,1.550876232329756,0.13831778389436228
4,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.12979902448477568,0.0959104906629633,0.06777706940968832,0.15467532884191584,0.8140946578096461,0.12867635181451623,0.09473437883316313,0.06788394553741252,0.15260092611987125,0.8186220391448331,0.00022245572839034455,1.5234523620456457,0.12979902448477568
5,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.12343617865332851,0.09073855369179337,0.06539525119242845,0.14598789673160623,0.8256173023471126,0.1257647746606553,0.09233249137323651,0.06686456586895595,0.14839726412595589,0.8250894847214363,0.0003068216772838708,1.5221814522519708,0.12343617865332851
6,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.11567859495127643,0.08438195944936187,0.06259327111420808,0.13589515421125625,0.8358024720792417,0.12233421662120895,0.08916959895702517,0.06632923645954288,0.1433993517992509,0.8308858436636878,0.00038539965553182774,1.5501609919592738,0.11567859495127643
7,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.10700476699405247,0.07722584928075472,0.05955783371572141,0.12468898484000453,0.8516461036823414,0.11971394701810992,0.08703358691275713,0.06536071950482396,0.13999836272831384,0.8363532348584926,0.00044847606341137875,1.5398536012507975,0.10700476699405247
8,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.09749381343523661,0.0696668698279946,0.055653887269673526,0.11311248750598342,0.8702674940780357,0.12003363760683221,0.08655481361300953,0.06695764812882168,0.13939722230342935,0.8373335513781733,0.0004882535639108369,1.525249479804188,0.09749381343523661
9,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.08873391190060863,0.06303255511102852,0.05140271288929162,0.10204252357836123,0.8927983584227386,0.1191018107539102,0.08648362720834311,0.0652363670611342,0.13898021293330226,0.8404323968600459,0.0004999654650542295,1.5447530411183834,0.08873391190060863
10,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0811956431026812,0.057694437851508455,0.04700241320663028,0.09342233345464424,0.9102880742814806,0.11988992536593139,0.0871213525886617,0.06553714479218722,0.14011246207016217,0.8407350443144762,0.0004965543703535437,1.5321276145987213,0.0811956431026812
11,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.07362947281863955,0.0521067603594727,0.04304542687756044,0.08452779231248078,0.9244856044098183,0.12012987806934251,0.08684894652911014,0.06656186378634636,0.1394975882875925,0.8418272077783144,0.0004876358818214678,1.5246820668689907,0.07362947281863955
12,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0694361236360338,0.04886637906785365,0.04113949040571849,0.07903481732915948,0.9383744937402231,0.11792679252795617,0.08503665783178292,0.06578027001528704,0.1366622080944376,0.8470051126251962,0.00047340922375444986,1.549219451379031,0.0694361236360338
13,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0625845017808455,0.04355758282321471,0.03805383810842479,0.07058283421728347,0.9480452740633929,0.11801464358377321,0.08484259108721165,0.06634410552959316,0.13647508167333933,0.8454721381968088,0.0004541921961848622,1.5491516240872443,0.0625845017808455
14,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0594311241750364,0.0416899164793668,0.035482414756660106,0.06753287022864377,0.9545267608430651,0.11767983128114201,0.08457108925849778,0.06621748412999424,0.1358287004018948,0.8461432264405706,0.00043041407575342735,1.573531772941351,0.0594311241750364
15,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.05454151354454182,0.03797344689567884,0.03313613351848391,0.06141375573696913,0.960802470754694,0.11748342757779012,0.08460034211203703,0.06576617045150668,0.13590864376934825,0.8466827263486493,0.00040260602637842225,1.5483585959300399,0.05454151354454182
16,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.05159475284594077,0.03606833489956679,0.031052836016924292,0.05829376272029347,0.9699588493064598,0.11671874396880619,0.08370305206723712,0.06603138399902027,0.13455232861396657,0.8480314788294313,0.00037138923393146623,1.5686410898342729,0.05159475284594077
17,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.048227862517038984,0.033864444080326295,0.028726835742040917,0.054755531030672565,0.973251039452023,0.11603411800598205,0.08320707441865692,0.06565408700523868,0.1336691117382682,0.8479920057028405,0.0003374610299716276,1.5510826972313225,0.048227862517038984
18,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0445922060697167,0.03120401636869819,0.02677638006431085,0.050398997024253565,0.9781893129701967,0.11640474960836174,0.08362015191693263,0.06556919538462291,0.1342954555890787,0.8468274707649625,0.00030157931451069977,1.5597152351401746,0.0445922060697167
19,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.04154334647787942,0.029100934719597852,0.02488482420643171,0.04703728857415694,0.9803498091521087,0.11665356714739047,0.08355278865893494,0.06620155671926428,0.1343105494347809,0.8478867392413484,0.00026454562577932987,1.4744707280769944,0.04154334647787942
20,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0394651779698001,0.027433027671994986,0.02406430135446566,0.04438796918149348,0.9818930065190351,0.11557657580446824,0.08274591976202308,0.06566131293018358,0.132991612977549,0.8489131084667569,0.00022718723518744835,1.5097727389074862,0.0394651779698001
21,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.03819516254244027,0.0268963566256894,0.022597611267809514,0.04370199877906729,0.9838477558559842,0.11658160424469659,0.08365875847500007,0.06584569071880567,0.13442074402298537,0.8482354421685624,0.0001903386674479956,1.4967324249446392,0.03819516254244027
22,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.03696146852992199,0.026141277079780898,0.02164038113421864,0.04242403877002222,0.9859053642661483,0.11627378708262513,0.08319718236115124,0.06615320992294729,0.13363556051737097,0.8483933402090376,0.00015482305867384587,1.5426714685745537,0.03696146852992199
23,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.0356087491468147,0.024970804554996666,0.021275890190844183,0.040435299553253035,0.9870370511655454,0.11639115605406262,0.0833285531158811,0.0661252061551863,0.13383962264463609,0.8496631481589891,0.00012143376887723675,1.5419362019747496,0.0356087491468147
24,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.03376677223929653,0.02366459790479254,0.02020434908292912,0.03840477499696943,0.9878600897612395,0.1154232436181357,0.08268852553262862,0.06546943682395469,0.13286765353169164,0.8489065289440905,9.091665961808393e-05,1.5495450301095843,0.03376677223929653
25,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.033523397478792405,0.02363656657161536,0.019773662476627915,0.03821470180043468,0.9881687301176566,0.1163369232743682,0.08343217192965059,0.06580950209296524,0.1339692801858282,0.8489460028047981,6.395343268923193e-05,1.5416828831657767,0.033523397478792405
26,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.03214947661315953,0.02258606628963241,0.01912682064705425,0.03652993586880189,0.9893004170170536,0.11589995002235524,0.08295629119517282,0.06588731734377691,0.1333265798153159,0.8489788996275428,4.114640202488007e-05,1.6601589089259505,0.03214947661315953
27,raw,baseline,9,none,False,0.0,0.0,0.0,1,0.5,0.0,0.0,0.03203092860402884,0.022471323554162627,0.019119210665424664,0.03646876994106504,0.9884773748892325,0.11569662168374958,0.08279104476458424,0.06581115451597705,0.1330473353580692,0.8497223624794589,2.3005039002586135e-05,1.5389890712685883,0.03203092860402884
