epoch,axial_mode,decoder_type,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,val_pck_0_5,current_lr,epoch_time
1,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.11566708187328921,0.11566708187328921,0.14712653820377097,0.18852575505591557,0.7352169353133817,0.08355770501135987,0.08355770501135987,0.06768507874416764,0.13543153463976834,0.8336103585147665,0.9771261277482414,2.524528036268529e-05,47.103723257314414
2,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.08412234185207454,0.08412234185207454,0.07189598150768498,0.13648431737122166,0.8319000172515232,0.07967842707993596,0.07967842707993596,0.06725821180252979,0.12976056269688346,0.8383790470140501,0.9806086569546832,4.0751846733381384e-05,46.65419392194599
3,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.08054720339536647,0.08054720339536647,0.06867681877789542,0.13088137344478176,0.8401778338371516,0.07767139530050617,0.07767139530050617,0.06548414366001558,0.1264794308368913,0.843193905647642,0.9808790806309848,6.584189671144758e-05,46.37213286058977
4,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.07690251176167895,0.07690251176167895,0.06604110150999608,0.12520700261174564,0.8490849783017705,0.07661186311463414,0.07661186311463414,0.06442256509518235,0.1248684709273154,0.851544057970501,0.9797644055287373,9.941872740981103e-05,44.92594283912331
5,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.07350988598036176,0.07350988598036176,0.06406803624622817,0.11982311561335243,0.8584976932855379,0.07280403145774801,0.07280403145774801,0.06222328398552287,0.11885214942227375,0.8564908323471384,0.9805229089187356,0.00014001467307261055,41.818359793163836
6,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.0701586257763756,0.0701586257763756,0.06198088170458651,0.11442188053018948,0.8676936109537422,0.06981974732823812,0.06981974732823812,0.0635256132438901,0.11407418381261328,0.8670637315460046,0.9836031019185227,0.00018585525772826518,40.27212525019422
7,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.06662252716404048,0.06662252716404048,0.059437007361023766,0.10864154679349215,0.8777812952311252,0.06861800577959892,0.06861800577959892,0.05815067172278691,0.1118061107731617,0.8749587816508779,0.9865118072461193,0.00023493675872253894,41.262220319826156
8,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.06343452692377934,0.06343452692377934,0.056380336014865105,0.1034221227878699,0.8880243376331765,0.0635789946910464,0.0635789946910464,0.055291265291268536,0.10383190038165839,0.8840212727490308,0.9858984043121791,0.0002851137907776285,41.192245076876134
9,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.06090522552859172,0.06090522552859172,0.05412580330710255,0.09935851893157828,0.8953866887896799,0.061530953572819104,0.061530953572819104,0.05458678475071497,0.10035370559094708,0.8916788744371662,0.9881607290261377,0.0003341930822193975,39.92690746486187
10,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.058193795216472916,0.058193795216472916,0.05157344603563939,0.0950223985956135,0.9020670471131891,0.06017036912302697,0.06017036912302697,0.050140792773962446,0.09803341488892048,0.8981624473362655,0.9881079631987935,0.00038002934435106225,41.2870695348829
11,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.05617358179514146,0.05617358179514146,0.04955178805785031,0.09180901859460901,0.907659027635585,0.05823162046675655,0.05823162046675655,0.05054820481093807,0.09528134090008368,0.8969092624538176,0.9890247676939491,0.00042061904345880525,41.23068973980844
12,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.054285059930205354,0.054285059930205354,0.04790343293554222,0.0888367877888947,0.9116561844192774,0.05684043952177316,0.05684043952177316,0.04751669902057712,0.09313961272283276,0.900860084068403,0.9873428625518715,0.00045418797661215014,46.10438979789615
13,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.05259199491372059,0.05259199491372059,0.046400432302830995,0.08611541490309403,0.91591226933023,0.054924932043240046,0.054924932043240046,0.04636000435094815,0.08994508122645604,0.905549627796539,0.9898624186927373,0.00047926882326221755,45.13665796816349
14,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.050993812161593634,0.050993812161593634,0.045084374630179995,0.08357165235873318,0.9196425976511408,0.054523255388109475,0.054523255388109475,0.046721946184933506,0.08948737075374329,0.9056419656804038,0.9890379572260002,0.0004947652828055648,43.77074686437845
15,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.049273745011876986,0.049273745011876986,0.043651836605240676,0.08087364616013315,0.9240312178625165,0.054061079064763796,0.054061079064763796,0.044939541645904454,0.08860400364830759,0.9082538643967973,0.9891105102952099,0.0004999999989704114,41.41494523594156
16,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.04761403540685068,0.04761403540685068,0.042338993126713784,0.07820277318813967,0.928309246104554,0.05397656810360794,0.05397656810360794,0.04614265860904994,0.08847384963188576,0.9100610829441307,0.990792412719944,0.0004989915789377818,41.46588760986924
17,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.04596665782125765,0.04596665782125765,0.04113855248158064,0.07553509961328421,0.9326592476863848,0.052480742163274176,0.052480742163274176,0.044290846998517056,0.08615706371685027,0.9122178740998451,0.9907792193595523,0.0004959785056303427,38.74296640371904
18,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.04452685035617442,0.04452685035617442,0.04002496181626071,0.07315382237920397,0.937036459099786,0.04898202445463742,0.04898202445463742,0.04210380378150393,0.08084045920070342,0.9165644390444624,0.9904956059035249,0.0004909850385427073,41.45101372571662
19,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.042956280717729944,0.042956280717729944,0.03882495426297781,0.07066084282515842,0.9405771984836673,0.048650436236026745,0.048650436236026745,0.0418452143294963,0.08017930459391684,0.9192093147966,0.9921907010305442,0.0004840513821357542,41.569790850859135
20,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.041524005127264826,0.041524005127264826,0.0376984889325876,0.06832240479284293,0.9445348570260008,0.04884074436051537,0.04884074436051537,0.04142456751431335,0.08046825137774395,0.9177978353971372,0.9903834801621467,0.00047523336213394814,40.546372974757105
21,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.03993953514624352,0.03993953514624352,0.036630698686723265,0.0657101633079725,0.9487681211128705,0.04982742349555596,0.04982742349555596,0.042163031032656346,0.08206716012711637,0.9172503932502029,0.9905088013231534,0.0004646019760494319,41.401903945952654
22,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.03855833469837308,0.03855833469837308,0.035578184064560966,0.06346877510831182,0.9523571352030543,0.04572151890784152,0.04572151890784152,0.039580621478089974,0.07543739600271379,0.9273945746449553,0.9933119702194814,0.0004522428215518042,41.43935919785872
23,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.037000513370944496,0.037000513370944496,0.03439244280413802,0.06091799167915443,0.9561120393491109,0.0457537629282575,0.0457537629282575,0.03864953425442763,0.07552689867573807,0.9264909641966038,0.991280495150984,0.00043825540728601483,41.28332544537261
24,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.03568536793704667,0.03568536793704667,0.03340584842171966,0.05877332080584377,0.9596009932881575,0.04534889315843766,0.04534889315843766,0.03817067458556933,0.07489820321946435,0.9254092695975437,0.9915113434377736,0.00042275235168726544,41.42115571303293
25,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.03404073331986796,0.03404073331986796,0.03225835467918204,0.056069216597656076,0.9634515692794273,0.04428544508676503,0.04428544508676503,0.037871623208991116,0.07325905986872376,0.9289973286471117,0.9909243270618593,0.00040585847624358823,41.24199448293075
26,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.03285299339314397,0.03285299339314397,0.031347937436936375,0.054095854199389844,0.9662760862073153,0.044844271131076564,0.044844271131076564,0.03838346847738249,0.07430820770904016,0.9280211648464939,0.9920653812282091,0.0003877098005066176,41.2567751314491
27,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.03127765115231301,0.03127765115231301,0.030151579695580053,0.05151076535195129,0.9695535079969012,0.04282804455877476,0.04282804455877476,0.03645623591189485,0.07110030199104203,0.9309694426905779,0.9918081511599738,0.0003684524469421393,41.214758914895356
28,spatial_then_temporal,joint,raw,baseline,9,none,False,0.0,0.0,0.029709202765968796,0.029709202765968796,0.02903161022239165,0.04891713003273569,0.9729713662256985,0.04265566086935046,0.04265566086935046,0.036304917134752354,0.07074773745797287,0.9318598606843189,0.9919334700565277,0.00034824146443791386,41.354457679670304
