epoch,axial_mode,decoder_type,csi_feature_mode,spatial_stem_type,background_kernel_size,input_calibration,wrist_refinement,latent_structure_loss_weight,encoder_relation_loss_weight,train_loss,train_coord_loss,train_bone_loss,train_mpjpe,train_pck_0_2,val_loss,val_coord_loss,val_bone_loss,val_mpjpe,val_pck_0_2,val_pck_0_5,current_lr,epoch_time
1,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.1648919267341399,0.10735868634215387,0.11506648084429949,0.17473158428728114,0.7586688495311364,0.11476861697013625,0.0830912378618953,0.06335475828415012,0.1343885715146409,0.833946740798538,0.9745472125991229,2.524528036268529e-05,46.69185878895223
2,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.11423426542399628,0.08219919052180713,0.06407014976294367,0.13336112646412365,0.8358620635639558,0.11005587166343975,0.07947900502366549,0.061153732781103524,0.12906837276738456,0.8420990200800184,0.9749957164704169,4.0751846733381384e-05,52.19587011821568
3,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.11000239649262697,0.07912302492073865,0.061758742895227765,0.12850275152252602,0.8441135485549515,0.10996132870315868,0.07961118218717758,0.060700293258407485,0.1288120573090004,0.844440494737984,0.9791576032696293,6.584189671144758e-05,45.715592680033296
4,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.10581470326310755,0.0758665856683468,0.059896235027608644,0.12330605331044672,0.8535482072474239,0.10401279098111803,0.07445645823262727,0.059112664616410106,0.12078125361067006,0.8584827309575851,0.977535062117601,9.941872740981103e-05,42.059912198688835
5,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.10127878652448404,0.07240186667923057,0.05775383975083431,0.11770661151084735,0.8635489970156062,0.1008215022740958,0.07219715385958614,0.05724869733852119,0.11738748545125419,0.8625918517100843,0.9814792860860597,0.00014001467307261055,41.952630238141865
6,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.0965608560389907,0.06891265211759166,0.055296407831438875,0.11203678492352205,0.8736577473495496,0.09868161292897258,0.07067848457049816,0.05600625692304942,0.11451526719930406,0.8700779696817453,0.9823499201992324,0.00018585525772826518,42.84391900897026
7,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.09196753683615864,0.06560121029262267,0.05273265315499179,0.10666787975894226,0.8830423743043601,0.09123901840355537,0.06519200368940824,0.052094029955044925,0.10610601795472627,0.8809410811149917,0.9850277720105687,0.00023493675872253894,41.84739224566147
8,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.08777263187568272,0.06259020839219918,0.05036484712134635,0.10184770775781592,0.8912771839516942,0.08811785353326208,0.06311499316496973,0.05000572048492971,0.10301999027418308,0.8857163651799358,0.9841703324112433,0.0002851137907776285,42.13478414295241
9,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.08400882850131469,0.060016722207148404,0.047984212652309045,0.09777253063776564,0.8986465557123099,0.08731895618677621,0.06227285836467363,0.050092194862703554,0.10139729465329986,0.8906367580652604,0.9850541574151389,0.0003341930822193975,42.024330908898264
10,spatial_then_temporal,hierarchical,raw,baseline,9,none,False,0.0,0.0,0.08088741046113514,0.057849583675044156,0.04607565397134333,0.09442556259195917,0.9035626888284564,0.08397346052215005,0.05991006642181984,0.048126788030826435,0.09781709853190432,0.8969290490871114,0.9858060649068852,0.00038002934435106225,42.69691768893972
